"Region";"Deutschland - Berufsuntergruppen";"Regionsschlüssel:";"d"
"Berichtsjahr";"2024"
"Engpassbewertung";"Engpassberufe (>=2,0)"
"Anforderungsniveau";"Fachkräfte"
"Bewertung/Basiswerte";"Bewertung"
""
"Hinweise:";"Arbeitslosigkeit und gemeldete Arbeitsstellen: Jahr 2024 (Jahresdurchschnittswerte), Beschäftigung: 30. Juni 2024, Entgelt: 31. Dezember 2023. Für die berufsspezifischen Arbeitslosenquoten liegen die Daten nur auf Ebene der Berufsgruppen (3-Steller der KldB 2010) in Kombination mit den Anforderungsniveaus vor. Für die Berufsgattungen (4-Steller + Anforderungsniveau) wird daher in der Engpassanalyse der Wert der jeweils übergeordneten Berufsgruppe und das jeweilige Anforderungsniveau herangezogen. "
""
"Kennziffer ";"Beruf ";"Gesamtbewertung ";"Vakanzzeit";"Arbeitsuchenden-Stellen-Relation";"Berufsspez. Arbeitslosenquote";"Veränd. Anteil sv-pfl. beschäftigter Ausländer";"Abgangsrate aus Arbeitslosigkeit";"Entwicklung mittlere Entgelte"
"5412";"Berufe in der Glas-, Fensterreinigung";"2,2";"3";"2";"0";"3";"2";"3"
"6222";"Berufe im Verkauf (Schmuck, Uhren)";"2,2";"3";"1";"3";"2";"1";"3"
"7213";"Versicherungskaufleute";"2,2";"3";"3";"3";"1";"2";"1"
"8114";"Tiermedizinische Fachangestellte";"2,2";"3";"0";"3";"1";"3";"3"
"8123";"Medizinisch-technische Berufe Radiologie";"2,2";"3";"2";"3";"1";"3";"1"
"8177";"Podologen/innen";"2,2";"3";"3";"2";"1";"2";"X"
"9354";"Berufe Schilder-, Lichtreklameherstellung";"2,2";"3";"3";"1";"2";"2";"2"
"1171";"Berufe in der Forstwirtschaft";"2,0";"3";"3";"3";"0";"3";"0"
"1210";"Berufe im Gartenbau (o.S.)";"2,0";"3";"3";"2";"1";"2";"1"
"1211";"Berufe im Obst-, Gemüsebau";"2,0";"1";"X";"2";"3";"2";"2"
"1214";"Berufe Garten-, Landschafts, Sportplatzbau";"2,0";"2";"3";"2";"0";"3";"2"
"2123";"Berufe in der Steinmetztechnik";"2,0";"3";"2";"3";"0";"3";"1"
"2220";"Berufe in der Farb-, Lacktechnik (o.S.)";"2,0";"3";"2";"1";"2";"2";"2"
"2423";"Berufe i.d. spanenden Metallbearbeitung";"2,0";"3";"2";"2";"1";"2";"2"
"2442";"Berufe i.d. Schweiß-, Verbindungstechnik";"2,0";"3";"0";"2";"3";"2";"2"
"2513";"Tech.ServicekräfteWartung, Instandhaltung";"2,0";"3";"3";"1";"1";"2";"2"
"2622";"Berufe in der Elektromaschinentechnik";"2,0";"3";"3";"3";"1";"1";"1"
"2930";"Köche/Köchinnen (o.S.)";"2,0";"3";"1";"0";"3";"2";"3"
"3214";"Berufe in der Dachdeckerei";"2,0";"3";"3";"1";"1";"3";"1"
"3216";"Berufe im Gerüstbau";"2,0";"3";"2";"1";"3";"2";"1"
"3331";"Berufe in der Isolierung";"2,0";"3";"2";"1";"3";"1";"2"
"3332";"Berufe in der Zimmerei";"2,0";"3";"3";"1";"1";"3";"1"
"3334";"Berufe in der Glaserei";"2,0";"3";"2";"1";"2";"2";"2"
"3335";"Berufe im Rollladen- und Jalousiebau";"2,0";"3";"3";"1";"1";"2";"2"
"3434";"Berufe Anlagen-, Behälter-, Apparatebau";"2,0";"3";"2";"2";"2";"2";"1"
"4143";"Berufe in der Baustoffprüfung";"2,0";"3";"3";"2";"1";"2";"1"
"5242";"Schiffsführer Binnen-, Hafenverkehr";"2,0";"3";"X";"X";"0";"3";"2"
"6223";"Berufe im Verkauf (Büro, Geschenk, Spiel)";"2,0";"2";"X";"3";"1";"1";"3"
"6224";"Berufe im Verkauf (Elektro, Haushaltsw.)";"2,0";"3";"1";"3";"1";"1";"3"
"6227";"Berufe im Verkauf (KFZ, Zweirad, Zubehör)";"2,0";"3";"2";"3";"1";"2";"1"
"6228";"Berufe im Verkauf (ssT)";"2,0";"3";"1";"3";"1";"1";"3"
"6230";"Berufe im Verkauf von Lebensmitteln (oS)";"2,0";"3";"2";"3";"1";"1";"2"
"6238";"Berufe Verkauf von Lebensmitteln (s.s.T)";"2,0";"3";"2";"3";"1";"1";"2"
"7325";"Berufe in der Justizverwaltung";"2,0";"1";"3";"3";"1";"2";"2"
"8134";"Berufe im Rettungsdienst";"2,0";"3";"2";"3";"0";"3";"1"
"8176";"Berufe i.d. Diät- und Ernährungstherapie";"2,0";"2";"2";"2";"1";"3";"2"
""
"Exportdatum: ";"29.03.2026";"20:52:58"
"© Statistik der Bundesagentur für Arbeit"
"Die Produkte unterliegen dem Urheberrecht (siehe Impressum: https://statistik.arbeitsagentur.de/DE/Home/Service/Impressum/impressum_node.html). Daten und Tabellen dürfen uneingeschränkt verwendet werden. Informationen dürfen (auch auszugsweise) gespeichert und mit Quellenangabe weitergegeben, vervielfältigt und verbreitet werden. Die Inhalte dürfen nicht verändert oder verfälscht werden. Eigene Berechnungen sind erlaubt, jedoch als solche kenntlich zu machen. Im Fall einer Veröffentlichung im Internet soll dies mit einer Verlinkung auf die Homepage der Statistik der Bundesagentur für Arbeit (https://statistik.arbeitsagentur.de/) erfolgen."
